State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,633.0,5902.0,0.0,0.0,0.0,SUB-DISTRICT,Dharapuram,Total,86520.0,282752.0,140576.0,142176.0,21502.0,11099.0,10403.0,73742.0,36728.0,37014.0,78.0,40.0,38.0,186369.0,104194.0,82175.0,96383.0,36382.0,60001.0,165003.0,95484.0,69519.0,147473.0,86822.0,60651.0,43511.0,25088.0,18423.0,52705.0,25616.0,27089.0,3799.0,1968.0,1831.0,47458.0,34150.0,13308.0,17530.0,8662.0,8868.0,1487.0,707.0,780.0,8721.0,3885.0,4836.0,739.0,247.0,492.0,6583.0,3823.0,2760.0,15588.0,7772.0,7816.0,1433.0,687.0,746.0,7773.0,3524.0,4249.0,592.0,207.0,385.0,5790.0,3354.0,2436.0,1942.0,890.0,1052.0,54.0,20.0,34.0,948.0,361.0,587.0,147.0,40.0,107.0,793.0,469.0,324.0,117749.0,45092.0,72657.0,,
33.0,633.0,5902.0,0.0,0.0,0.0,SUB-DISTRICT,Dharapuram,Rural,53660.0,170965.0,85519.0,85446.0,12350.0,6400.0,5950.0,47638.0,23814.0,23824.0,13.0,5.0,8.0,105253.0,60664.0,44589.0,65712.0,24855.0,40857.0,108416.0,59910.0,48506.0,97652.0,55019.0,42633.0,35932.0,20695.0,15237.0,39472.0,19139.0,20333.0,2524.0,1324.0,1200.0,19724.0,13861.0,5863.0,10764.0,4891.0,5873.0,1261.0,579.0,682.0,6091.0,2610.0,3481.0,437.0,122.0,315.0,2975.0,1580.0,1395.0,9701.0,4477.0,5224.0,1212.0,561.0,651.0,5462.0,2379.0,3083.0,353.0,100.0,253.0,2674.0,1437.0,1237.0,1063.0,414.0,649.0,49.0,18.0,31.0,629.0,231.0,398.0,84.0,22.0,62.0,301.0,143.0,158.0,62549.0,25609.0,36940.0,,
33.0,633.0,5902.0,0.0,0.0,0.0,SUB-DISTRICT,Dharapuram,Urban,32860.0,111787.0,55057.0,56730.0,9152.0,4699.0,4453.0,26104.0,12914.0,13190.0,65.0,35.0,30.0,81116.0,43530.0,37586.0,30671.0,11527.0,19144.0,56587.0,35574.0,21013.0,49821.0,31803.0,18018.0,7579.0,4393.0,3186.0,13233.0,6477.0,6756.0,1275.0,644.0,631.0,27734.0,20289.0,7445.0,6766.0,3771.0,2995.0,226.0,128.0,98.0,2630.0,1275.0,1355.0,302.0,125.0,177.0,3608.0,2243.0,1365.0,5887.0,3295.0,2592.0,221.0,126.0,95.0,2311.0,1145.0,1166.0,239.0,107.0,132.0,3116.0,1917.0,1199.0,879.0,476.0,403.0,5.0,2.0,3.0,319.0,130.0,189.0,63.0,18.0,45.0,492.0,326.0,166.0,55200.0,19483.0,35717.0,,
33.0,633.0,5902.0,644634.0,0.0,0.0,VILLAGE,Kokkampalayam,Rural,870.0,2790.0,1379.0,1411.0,206.0,106.0,100.0,624.0,307.0,317.0,0.0,0.0,0.0,1584.0,884.0,700.0,1206.0,495.0,711.0,1615.0,964.0,651.0,1442.0,904.0,538.0,367.0,238.0,129.0,664.0,376.0,288.0,67.0,39.0,28.0,344.0,251.0,93.0,173.0,60.0,113.0,18.0,10.0,8.0,49.0,14.0,35.0,12.0,4.0,8.0,94.0,32.0,62.0,152.0,52.0,100.0,16.0,9.0,7.0,45.0,12.0,33.0,2.0,1.0,1.0,89.0,30.0,59.0,21.0,8.0,13.0,2.0,1.0,1.0,4.0,2.0,2.0,10.0,3.0,7.0,5.0,2.0,3.0,1175.0,415.0,760.0,,
33.0,633.0,5902.0,644635.0,0.0,0.0,VILLAGE,Jothiampatti,Rural,438.0,1456.0,756.0,700.0,114.0,63.0,51.0,459.0,230.0,229.0,0.0,0.0,0.0,794.0,472.0,322.0,662.0,284.0,378.0,1035.0,540.0,495.0,1033.0,538.0,495.0,619.0,326.0,293.0,350.0,169.0,181.0,3.0,1.0,2.0,61.0,42.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,216.0,205.0,,
33.0,633.0,5902.0,644636.0,0.0,0.0,VILLAGE,Surianallur,Rural,1726.0,5486.0,2715.0,2771.0,410.0,215.0,195.0,1936.0,949.0,987.0,1.0,1.0,0.0,3403.0,1910.0,1493.0,2083.0,805.0,1278.0,3359.0,1887.0,1472.0,2834.0,1651.0,1183.0,1112.0,639.0,473.0,1170.0,619.0,551.0,62.0,31.0,31.0,490.0,362.0,128.0,525.0,236.0,289.0,10.0,7.0,3.0,96.0,42.0,54.0,40.0,9.0,31.0,379.0,178.0,201.0,483.0,213.0,270.0,10.0,7.0,3.0,93.0,42.0,51.0,39.0,8.0,31.0,341.0,156.0,185.0,42.0,23.0,19.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,38.0,22.0,16.0,2127.0,828.0,1299.0,,
33.0,633.0,5902.0,644637.0,0.0,0.0,VILLAGE,Kolumangali,Rural,531.0,1725.0,909.0,816.0,128.0,62.0,66.0,527.0,271.0,256.0,0.0,0.0,0.0,1094.0,653.0,441.0,631.0,256.0,375.0,1028.0,613.0,415.0,929.0,587.0,342.0,363.0,219.0,144.0,245.0,130.0,115.0,17.0,8.0,9.0,304.0,230.0,74.0,99.0,26.0,73.0,0.0,0.0,0.0,52.0,8.0,44.0,2.0,0.0,2.0,45.0,18.0,27.0,90.0,23.0,67.0,0.0,0.0,0.0,48.0,6.0,42.0,1.0,0.0,1.0,41.0,17.0,24.0,9.0,3.0,6.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,697.0,296.0,401.0,,
33.0,633.0,5902.0,644638.0,0.0,0.0,VILLAGE,Sirukinar,Rural,687.0,2119.0,1043.0,1076.0,143.0,67.0,76.0,336.0,158.0,178.0,0.0,0.0,0.0,1421.0,826.0,595.0,698.0,217.0,481.0,1324.0,771.0,553.0,1063.0,678.0,385.0,514.0,388.0,126.0,157.0,82.0,75.0,122.0,31.0,91.0,270.0,177.0,93.0,261.0,93.0,168.0,27.0,17.0,10.0,66.0,17.0,49.0,32.0,0.0,32.0,136.0,59.0,77.0,250.0,92.0,158.0,26.0,17.0,9.0,58.0,16.0,42.0,31.0,0.0,31.0,135.0,59.0,76.0,11.0,1.0,10.0,1.0,0.0,1.0,8.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,795.0,272.0,523.0,,
33.0,633.0,5902.0,644639.0,0.0,0.0,VILLAGE,Ponganthurai,Rural,445.0,1386.0,697.0,689.0,84.0,50.0,34.0,244.0,124.0,120.0,0.0,0.0,0.0,807.0,461.0,346.0,579.0,236.0,343.0,960.0,506.0,454.0,901.0,487.0,414.0,349.0,180.0,169.0,370.0,178.0,192.0,8.0,5.0,3.0,174.0,124.0,50.0,59.0,19.0,40.0,9.0,5.0,4.0,46.0,13.0,33.0,1.0,0.0,1.0,3.0,1.0,2.0,26.0,10.0,16.0,9.0,5.0,4.0,15.0,4.0,11.0,0.0,0.0,0.0,2.0,1.0,1.0,33.0,9.0,24.0,0.0,0.0,0.0,31.0,9.0,22.0,1.0,0.0,1.0,1.0,0.0,1.0,426.0,191.0,235.0,,
33.0,633.0,5902.0,644640.0,0.0,0.0,VILLAGE,Mambadi,Rural,875.0,2641.0,1339.0,1302.0,174.0,99.0,75.0,255.0,112.0,143.0,0.0,0.0,0.0,1687.0,1012.0,675.0,954.0,327.0,627.0,1797.0,967.0,830.0,1623.0,893.0,730.0,758.0,443.0,315.0,458.0,196.0,262.0,68.0,33.0,35.0,339.0,221.0,118.0,174.0,74.0,100.0,37.0,20.0,17.0,89.0,29.0,60.0,11.0,6.0,5.0,37.0,19.0,18.0,164.0,73.0,91.0,34.0,19.0,15.0,83.0,29.0,54.0,10.0,6.0,4.0,37.0,19.0,18.0,10.0,1.0,9.0,3.0,1.0,2.0,6.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,844.0,372.0,472.0,,
33.0,633.0,5902.0,644641.0,0.0,0.0,VILLAGE,Thurambadi,Rural,970.0,3003.0,1483.0,1520.0,217.0,105.0,112.0,734.0,358.0,376.0,0.0,0.0,0.0,1779.0,1029.0,750.0,1224.0,454.0,770.0,2019.0,1091.0,928.0,1798.0,989.0,809.0,678.0,349.0,329.0,585.0,258.0,327.0,14.0,7.0,7.0,521.0,375.0,146.0,221.0,102.0,119.0,17.0,9.0,8.0,191.0,89.0,102.0,0.0,0.0,0.0,13.0,4.0,9.0,207.0,97.0,110.0,17.0,9.0,8.0,179.0,85.0,94.0,0.0,0.0,0.0,11.0,3.0,8.0,14.0,5.0,9.0,0.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,984.0,392.0,592.0,,
33.0,633.0,5902.0,644642.0,0.0,0.0,VILLAGE,Mulayampoondi,Rural,995.0,3128.0,1561.0,1567.0,199.0,94.0,105.0,965.0,475.0,490.0,0.0,0.0,0.0,2018.0,1134.0,884.0,1110.0,427.0,683.0,2227.0,1169.0,1058.0,1939.0,1037.0,902.0,891.0,491.0,400.0,813.0,402.0,411.0,39.0,24.0,15.0,196.0,120.0,76.0,288.0,132.0,156.0,13.0,3.0,10.0,261.0,121.0,140.0,3.0,1.0,2.0,11.0,7.0,4.0,282.0,130.0,152.0,12.0,3.0,9.0,258.0,120.0,138.0,1.0,0.0,1.0,11.0,7.0,4.0,6.0,2.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,901.0,392.0,509.0,,
33.0,633.0,5902.0,644643.0,0.0,0.0,VILLAGE,Puduppai,Rural,781.0,2482.0,1242.0,1240.0,182.0,95.0,87.0,407.0,205.0,202.0,0.0,0.0,0.0,1561.0,900.0,661.0,921.0,342.0,579.0,1620.0,886.0,734.0,1554.0,858.0,696.0,382.0,230.0,152.0,638.0,295.0,343.0,144.0,75.0,69.0,390.0,258.0,132.0,66.0,28.0,38.0,2.0,2.0,0.0,26.0,8.0,18.0,17.0,5.0,12.0,21.0,13.0,8.0,64.0,26.0,38.0,2.0,2.0,0.0,25.0,7.0,18.0,17.0,5.0,12.0,20.0,12.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,862.0,356.0,506.0,,
33.0,633.0,5902.0,644644.0,0.0,0.0,VILLAGE,Erasinampalayam,Rural,594.0,1849.0,928.0,921.0,123.0,68.0,55.0,583.0,283.0,300.0,0.0,0.0,0.0,1193.0,684.0,509.0,656.0,244.0,412.0,1244.0,651.0,593.0,1235.0,648.0,587.0,509.0,270.0,239.0,459.0,212.0,247.0,13.0,4.0,9.0,254.0,162.0,92.0,9.0,3.0,6.0,1.0,0.0,1.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,3.0,5.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,277.0,328.0,,
33.0,633.0,5902.0,644645.0,0.0,0.0,VILLAGE,Thattaravaluvu,Rural,503.0,1650.0,802.0,848.0,111.0,61.0,50.0,403.0,197.0,206.0,0.0,0.0,0.0,1102.0,627.0,475.0,548.0,175.0,373.0,984.0,567.0,417.0,970.0,561.0,409.0,340.0,214.0,126.0,420.0,203.0,217.0,12.0,5.0,7.0,198.0,139.0,59.0,14.0,6.0,8.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,8.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,666.0,235.0,431.0,,
33.0,633.0,5902.0,644646.0,0.0,0.0,VILLAGE,Punjaithalaiyur,Rural,429.0,1326.0,636.0,690.0,96.0,50.0,46.0,246.0,120.0,126.0,0.0,0.0,0.0,917.0,498.0,419.0,409.0,138.0,271.0,805.0,453.0,352.0,764.0,438.0,326.0,162.0,106.0,56.0,406.0,200.0,206.0,29.0,12.0,17.0,167.0,120.0,47.0,41.0,15.0,26.0,7.0,2.0,5.0,20.0,6.0,14.0,3.0,0.0,3.0,11.0,7.0,4.0,38.0,15.0,23.0,7.0,2.0,5.0,19.0,6.0,13.0,1.0,0.0,1.0,11.0,7.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,521.0,183.0,338.0,,
33.0,633.0,5902.0,644647.0,0.0,0.0,VILLAGE,Senathypathypalayam,Rural,565.0,1678.0,810.0,868.0,84.0,37.0,47.0,346.0,169.0,177.0,0.0,0.0,0.0,1105.0,629.0,476.0,573.0,181.0,392.0,1100.0,592.0,508.0,1053.0,571.0,482.0,385.0,239.0,146.0,459.0,198.0,261.0,10.0,6.0,4.0,199.0,128.0,71.0,47.0,21.0,26.0,7.0,3.0,4.0,23.0,7.0,16.0,3.0,0.0,3.0,14.0,11.0,3.0,46.0,21.0,25.0,7.0,3.0,4.0,22.0,7.0,15.0,3.0,0.0,3.0,14.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,218.0,360.0,,
33.0,633.0,5902.0,644648.0,0.0,0.0,VILLAGE,Nanjaithalaiyur,Rural,310.0,826.0,409.0,417.0,53.0,27.0,26.0,4.0,2.0,2.0,0.0,0.0,0.0,654.0,368.0,286.0,172.0,41.0,131.0,544.0,292.0,252.0,438.0,243.0,195.0,113.0,68.0,45.0,155.0,66.0,89.0,19.0,10.0,9.0,151.0,99.0,52.0,106.0,49.0,57.0,37.0,16.0,21.0,43.0,17.0,26.0,3.0,1.0,2.0,23.0,15.0,8.0,86.0,43.0,43.0,29.0,15.0,14.0,36.0,13.0,23.0,1.0,1.0,0.0,20.0,14.0,6.0,20.0,6.0,14.0,8.0,1.0,7.0,7.0,4.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,282.0,117.0,165.0,,
33.0,633.0,5902.0,644649.0,0.0,0.0,VILLAGE,Sundakkampalayam,Rural,350.0,1156.0,584.0,572.0,78.0,50.0,28.0,336.0,173.0,163.0,0.0,0.0,0.0,738.0,431.0,307.0,418.0,153.0,265.0,745.0,415.0,330.0,688.0,397.0,291.0,77.0,44.0,33.0,547.0,304.0,243.0,1.0,0.0,1.0,63.0,49.0,14.0,57.0,18.0,39.0,2.0,1.0,1.0,38.0,11.0,27.0,2.0,0.0,2.0,15.0,6.0,9.0,51.0,17.0,34.0,2.0,1.0,1.0,35.0,10.0,25.0,2.0,0.0,2.0,12.0,6.0,6.0,6.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,411.0,169.0,242.0,,
33.0,633.0,5902.0,644650.0,0.0,0.0,VILLAGE,Velampoondi,Rural,851.0,2539.0,1238.0,1301.0,144.0,68.0,76.0,684.0,336.0,348.0,0.0,0.0,0.0,1647.0,944.0,703.0,892.0,294.0,598.0,1581.0,871.0,710.0,1405.0,800.0,605.0,481.0,274.0,207.0,725.0,373.0,352.0,5.0,4.0,1.0,194.0,149.0,45.0,176.0,71.0,105.0,14.0,6.0,8.0,142.0,50.0,92.0,0.0,0.0,0.0,20.0,15.0,5.0,156.0,62.0,94.0,10.0,4.0,6.0,128.0,45.0,83.0,0.0,0.0,0.0,18.0,13.0,5.0,20.0,9.0,11.0,4.0,2.0,2.0,14.0,5.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,958.0,367.0,591.0,,
33.0,633.0,5902.0,644651.0,0.0,0.0,VILLAGE,Arikkaranvalasu,Rural,662.0,2034.0,983.0,1051.0,118.0,55.0,63.0,642.0,315.0,327.0,0.0,0.0,0.0,1238.0,708.0,530.0,796.0,275.0,521.0,1259.0,699.0,560.0,1185.0,674.0,511.0,351.0,222.0,129.0,661.0,330.0,331.0,2.0,0.0,2.0,171.0,122.0,49.0,74.0,25.0,49.0,21.0,6.0,15.0,39.0,10.0,29.0,1.0,0.0,1.0,13.0,9.0,4.0,67.0,21.0,46.0,20.0,5.0,15.0,35.0,9.0,26.0,1.0,0.0,1.0,11.0,7.0,4.0,7.0,4.0,3.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,775.0,284.0,491.0,,
33.0,633.0,5902.0,644652.0,0.0,0.0,VILLAGE,Edakkalpadi,Rural,328.0,1021.0,511.0,510.0,59.0,33.0,26.0,135.0,71.0,64.0,0.0,0.0,0.0,700.0,403.0,297.0,321.0,108.0,213.0,650.0,358.0,292.0,647.0,356.0,291.0,190.0,114.0,76.0,329.0,154.0,175.0,2.0,0.0,2.0,126.0,88.0,38.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,153.0,218.0,,
33.0,633.0,5902.0,644653.0,0.0,0.0,VILLAGE,Chinnamarudur,Rural,966.0,3095.0,1528.0,1567.0,181.0,98.0,83.0,724.0,360.0,364.0,0.0,0.0,0.0,2065.0,1189.0,876.0,1030.0,339.0,691.0,2325.0,1185.0,1140.0,1910.0,966.0,944.0,906.0,468.0,438.0,724.0,339.0,385.0,86.0,42.0,44.0,194.0,117.0,77.0,415.0,219.0,196.0,22.0,12.0,10.0,303.0,151.0,152.0,4.0,4.0,0.0,86.0,52.0,34.0,409.0,215.0,194.0,22.0,12.0,10.0,301.0,150.0,151.0,3.0,3.0,0.0,83.0,50.0,33.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,770.0,343.0,427.0,,
33.0,633.0,5902.0,644654.0,0.0,0.0,VILLAGE,Komarapalayam,Rural,1645.0,5460.0,2785.0,2675.0,303.0,164.0,139.0,1021.0,539.0,482.0,0.0,0.0,0.0,3469.0,2102.0,1367.0,1991.0,683.0,1308.0,3908.0,2105.0,1803.0,3368.0,1823.0,1545.0,1753.0,959.0,794.0,1218.0,590.0,628.0,58.0,33.0,25.0,339.0,241.0,98.0,540.0,282.0,258.0,110.0,59.0,51.0,321.0,156.0,165.0,2.0,0.0,2.0,107.0,67.0,40.0,539.0,281.0,258.0,110.0,59.0,51.0,321.0,156.0,165.0,2.0,0.0,2.0,106.0,66.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1552.0,680.0,872.0,,
33.0,633.0,5902.0,644655.0,0.0,0.0,VILLAGE,Kilangudal,Rural,2069.0,6361.0,3169.0,3192.0,416.0,198.0,218.0,1355.0,704.0,651.0,0.0,0.0,0.0,3820.0,2313.0,1507.0,2541.0,856.0,1685.0,4310.0,2336.0,1974.0,4087.0,2234.0,1853.0,2137.0,1276.0,861.0,1362.0,568.0,794.0,96.0,54.0,42.0,492.0,336.0,156.0,223.0,102.0,121.0,73.0,35.0,38.0,95.0,42.0,53.0,5.0,2.0,3.0,50.0,23.0,27.0,194.0,87.0,107.0,68.0,32.0,36.0,77.0,33.0,44.0,1.0,1.0,0.0,48.0,21.0,27.0,29.0,15.0,14.0,5.0,3.0,2.0,18.0,9.0,9.0,4.0,1.0,3.0,2.0,2.0,0.0,2051.0,833.0,1218.0,,
33.0,633.0,5902.0,644656.0,0.0,0.0,VILLAGE,Kalipalayam,Rural,255.0,934.0,465.0,469.0,93.0,52.0,41.0,473.0,232.0,241.0,0.0,0.0,0.0,573.0,324.0,249.0,361.0,141.0,220.0,614.0,317.0,297.0,541.0,286.0,255.0,198.0,103.0,95.0,304.0,153.0,151.0,7.0,6.0,1.0,32.0,24.0,8.0,73.0,31.0,42.0,1.0,0.0,1.0,63.0,28.0,35.0,5.0,2.0,3.0,4.0,1.0,3.0,18.0,6.0,12.0,1.0,0.0,1.0,9.0,3.0,6.0,5.0,2.0,3.0,3.0,1.0,2.0,55.0,25.0,30.0,0.0,0.0,0.0,54.0,25.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,320.0,148.0,172.0,,
33.0,633.0,5902.0,644657.0,0.0,0.0,VILLAGE,Peramium,Rural,952.0,2899.0,1471.0,1428.0,196.0,112.0,84.0,659.0,342.0,317.0,0.0,0.0,0.0,1784.0,1049.0,735.0,1115.0,422.0,693.0,2028.0,1060.0,968.0,2004.0,1053.0,951.0,775.0,415.0,360.0,902.0,427.0,475.0,77.0,41.0,36.0,250.0,170.0,80.0,24.0,7.0,17.0,3.0,3.0,0.0,11.0,2.0,9.0,5.0,0.0,5.0,5.0,2.0,3.0,18.0,5.0,13.0,2.0,2.0,0.0,9.0,2.0,7.0,4.0,0.0,4.0,3.0,1.0,2.0,6.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,871.0,411.0,460.0,,
33.0,633.0,5902.0,644658.0,0.0,0.0,VILLAGE,Nathampalayam,Rural,443.0,1252.0,635.0,617.0,81.0,40.0,41.0,160.0,81.0,79.0,0.0,0.0,0.0,761.0,478.0,283.0,491.0,157.0,334.0,897.0,485.0,412.0,873.0,482.0,391.0,435.0,242.0,193.0,258.0,121.0,137.0,36.0,17.0,19.0,144.0,102.0,42.0,24.0,3.0,21.0,4.0,0.0,4.0,15.0,1.0,14.0,1.0,0.0,1.0,4.0,2.0,2.0,23.0,3.0,20.0,4.0,0.0,4.0,14.0,1.0,13.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,150.0,205.0,,
33.0,633.0,5902.0,644659.0,0.0,0.0,VILLAGE,Sankarandampalayam,Rural,867.0,2690.0,1342.0,1348.0,156.0,83.0,73.0,241.0,123.0,118.0,0.0,0.0,0.0,1569.0,923.0,646.0,1121.0,419.0,702.0,1872.0,1006.0,866.0,1502.0,891.0,611.0,947.0,562.0,385.0,327.0,180.0,147.0,37.0,12.0,25.0,191.0,137.0,54.0,370.0,115.0,255.0,181.0,31.0,150.0,83.0,26.0,57.0,30.0,17.0,13.0,76.0,41.0,35.0,362.0,113.0,249.0,180.0,31.0,149.0,80.0,25.0,55.0,30.0,17.0,13.0,72.0,40.0,32.0,8.0,2.0,6.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,818.0,336.0,482.0,,
33.0,633.0,5902.0,644660.0,0.0,0.0,VILLAGE,Vadugapalayam,Rural,1056.0,3226.0,1555.0,1671.0,255.0,133.0,122.0,2002.0,975.0,1027.0,0.0,0.0,0.0,1887.0,1046.0,841.0,1339.0,509.0,830.0,1920.0,1036.0,884.0,1883.0,1024.0,859.0,454.0,277.0,177.0,1103.0,526.0,577.0,13.0,6.0,7.0,313.0,215.0,98.0,37.0,12.0,25.0,7.0,2.0,5.0,18.0,3.0,15.0,1.0,1.0,0.0,11.0,6.0,5.0,33.0,11.0,22.0,6.0,1.0,5.0,15.0,3.0,12.0,1.0,1.0,0.0,11.0,6.0,5.0,4.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0,519.0,787.0,,
33.0,633.0,5902.0,644661.0,0.0,0.0,VILLAGE,Kannankoil,Rural,438.0,1291.0,643.0,648.0,86.0,50.0,36.0,288.0,144.0,144.0,0.0,0.0,0.0,789.0,470.0,319.0,502.0,173.0,329.0,917.0,472.0,445.0,877.0,456.0,421.0,196.0,96.0,100.0,466.0,235.0,231.0,134.0,66.0,68.0,81.0,59.0,22.0,40.0,16.0,24.0,5.0,3.0,2.0,18.0,5.0,13.0,1.0,0.0,1.0,16.0,8.0,8.0,38.0,16.0,22.0,5.0,3.0,2.0,16.0,5.0,11.0,1.0,0.0,1.0,16.0,8.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,171.0,203.0,,
